Model,Key Parameter,CV Accuracy,Train Accuracy,Test Accuracy,Error Rate,Weighted Precision,Weighted Recall,Weighted F1,Malignant Precision,Malignant Recall,Malignant F1,Tree Depth,Leaves,Nodes
Baseline,default,,1.0,0.9122807017543859,0.08771929824561409,0.9160721496836722,0.9122807017543859,0.9130211893369787,0.8478260869565217,0.9285714285714286,0.8863636363636364,7,19,37
Max Depth,max_depth=4,0.9384615384615385,0.9868131868131869,0.9385964912280702,0.06140350877192979,0.9390418397779577,0.9385964912280702,0.9387429907553746,0.9069767441860465,0.9285714285714286,0.9176470588235294,4,11,21
Min Samples Leaf,min_samples_leaf=3,0.9362637362637363,0.9802197802197802,0.9122807017543859,0.08771929824561409,0.9136705399863294,0.9122807017543859,0.9126829520575104,0.8636363636363636,0.9047619047619048,0.8837209302325582,6,13,25
Pruning,ccp_alpha=0.005934,0.934065934065934,0.9736263736263736,0.9385964912280702,0.06140350877192979,0.9384352963933389,0.9385964912280702,0.9384383268099622,0.926829268292683,0.9047619047619048,0.9156626506024096,3,6,11
